bin1 bin2 count
6 3083 14 2.5339678433652865e-13
7 3083 20 1.989164155379078e-21
8 3083 16 6.469217905144792e-16
9 3083 32 5.632765698429121e-40
10 3083 32 5.632765698429121e-40
10 5001 18 1.274514653674236e-18
10 5002 21 7.249755164741488e-23
11 3083 21 7.249755164741488e-23
12 3083 24 2.610704387692025e-27
13 3083 21 7.249755164741488e-23
14 3083 29 4.243544837662296e-35
16 3083 11 1.1196201958356932e-09
17 3083 15 1.3250069771807424e-14
18 3083 12 7.406616243275502e-11
19 3083 17 2.9607014046549267e-17
21 3083 17 2.9607014046549267e-17
22 3083 16 6.469217905144792e-16
25 3083 20 1.989164155379078e-21
27 3083 14 2.5339678433652865e-13
28 3083 16 6.469217905144792e-16
29 3083 12 7.406616243275502e-11
31 3083 13 4.5047754107645346e-12
32 3083 11 1.1196201958356932e-09
33 1712 12 7.406616243275502e-11
33 1713 13 4.5047754107645346e-12
33 3083 14 2.5339678433652865e-13
34 3083 17 2.9607014046549267e-17
36 3083 13 4.5047754107645346e-12
37 3083 11 1.1196201958356932e-09
38 3083 13 4.5047754107645346e-12
42 3083 13 4.5047754107645346e-12
44 2376 13 4.5047754107645346e-12
48 3083 13 4.5047754107645346e-12
57 3083 11 1.1196201958356932e-09
111 4920 43 5.806382451277096e-59
130 2546 17 2.9607014046549267e-17
133 2704 16 6.469217905144792e-16
160 4663 12 7.406616243275502e-11
168 585 11 1.1196201958356932e-09
179 871 17 2.9607014046549267e-17
180 401 17 2.9607014046549267e-17
180 1086 15 1.3250069771807424e-14
180 1088 12 7.406616243275502e-11
180 3083 57 3.3115587253102e-85
186 1127 13 4.5047754107645346e-12
222 1929 30 1.042365684813047e-36
234 4292 17 2.9607014046549267e-17
271 3069 20 1.989164155379078e-21
273 2397 30 1.042365684813047e-36
274 2397 17 2.9607014046549267e-17
277 3562 16 6.469217905144792e-16
278 3562 11 1.1196201958356932e-09
304 3912 24 2.610704387692025e-27
309 2611 21 7.249755164741488e-23
311 4518 12 7.406616243275502e-11
318 3218 20 1.989164155379078e-21
319 1973 12 7.406616243275502e-11
328 3139 15 1.3250069771807424e-14
347 3069 15 1.3250069771807424e-14
348 4340 11 1.1196201958356932e-09
359 2377 15 1.3250069771807424e-14
366 1064 15 1.3250069771807424e-14
401 3083 27 6.264520238844417e-32
402 3083 36 1.086698039609553e-46
402 4614 13 4.5047754107645346e-12
403 3083 23 8.289233924379787e-26
404 3083 22 2.5117380569002188e-24
405 3083 21 7.249755164741488e-23
406 3083 21 7.249755164741488e-23
407 2496 23 8.289233924379787e-26
407 3083 13 4.5047754107645346e-12
408 3083 20 1.989164155379078e-21
409 3083 16 6.469217905144792e-16
411 3083 11 1.1196201958356932e-09
414 3083 14 2.5339678433652865e-13
415 3083 19 5.1765176915485566e-20
416 3083 19 5.1765176915485566e-20
417 3083 17 2.9607014046549267e-17
417 3642 14 2.5339678433652865e-13
418 3083 22 2.5117380569002188e-24
419 3083 12 7.406616243275502e-11
420 3083 14 2.5339678433652865e-13
421 3083 14 2.5339678433652865e-13
422 3083 19 5.1765176915485566e-20
423 2608 13 4.5047754107645346e-12
424 3083 14 2.5339678433652865e-13
425 3083 15 1.3250069771807424e-14
426 3083 13 4.5047754107645346e-12
428 3083 12 7.406616243275502e-11
430 3083 14 2.5339678433652865e-13
431 3083 18 1.274514653674236e-18
432 3083 15 1.3250069771807424e-14
433 3083 24 2.610704387692025e-27
434 3083 11 1.1196201958356932e-09
435 3083 12 7.406616243275502e-11
436 3083 14 2.5339678433652865e-13
437 3083 12 7.406616243275502e-11
441 3083 19 5.1765176915485566e-20
445 3083 14 2.5339678433652865e-13
483 1887 21 7.249755164741488e-23
487 4019 22 2.5117380569002188e-24
493 2860 13 4.5047754107645346e-12
508 2717 34 2.644876733937499e-43
509 2717 21 7.249755164741488e-23
516 2438 11 1.1196201958356932e-09
534 1666 34 2.644876733937499e-43
534 1667 31 2.467192527058958e-38
542 1291 31 2.467192527058958e-38
564 2128 11 1.1196201958356932e-09
578 3839 11 1.1196201958356932e-09
594 2963 23 8.289233924379787e-26
603 2845 13 4.5047754107645346e-12
620 2142 19 5.1765176915485566e-20
622 920 15 1.3250069771807424e-14
632 4848 21 7.249755164741488e-23
637 3769 12 7.406616243275502e-11
639 2326 22 2.5117380569002188e-24
639 3309 16 6.469217905144792e-16
651 1269 33 1.2416300843451547e-41
654 2645 16 6.469217905144792e-16
657 4001 29 4.243544837662296e-35
658 4001 17 2.9607014046549267e-17
667 1478 20 1.989164155379078e-21
674 4013 16 6.469217905144792e-16
683 957 21 7.249755164741488e-23
687 4639 12 7.406616243275502e-11
702 3910 12 7.406616243275502e-11
703 3910 27 6.264520238844417e-32
705 2561 28 1.6628546594615395e-33
710 2992 19 5.1765176915485566e-20
720 1203 20 1.989164155379078e-21
730 1820 13 4.5047754107645346e-12
756 3319 12 7.406616243275502e-11
757 3319 12 7.406616243275502e-11
758 775 13 4.5047754107645346e-12
758 3320 18 1.274514653674236e-18
758 4543 26 2.266120156448998e-30
