bin1 bin2 count
6 3083 20 6.594831742779369e-24
7 3083 26 1.3289277887398295e-33
8 3083 26 1.3289277887398295e-33
9 3083 34 1.595205939908418e-47
9 4998 10 9.636450311364542e-10
10 3083 28 5.501099473676676e-37
11 3083 23 1.1526497522714224e-28
12 3083 27 2.758404277526716e-35
13 3083 21 1.7980898531301381e-25
14 3083 32 5.975792382910658e-44
15 3083 14 4.852609511573713e-15
16 3083 12 2.556670065675041e-12
17 3083 10 9.636450311364542e-10
18 3083 17 2.3529299550198023e-19
19 3083 34 1.595205939908418e-47
20 3083 30 1.9502691985699294e-40
21 3083 18 7.563852593197121e-21
22 3083 19 2.2954870416490966e-22
23 3083 16 6.888671793811913e-18
24 3083 16 6.888671793811913e-18
25 3083 15 1.8915701790049294e-16
26 3083 22 4.663138853599558e-27
27 3083 20 6.594831742779369e-24
28 3083 12 2.556670065675041e-12
29 3083 10 9.636450311364542e-10
31 3083 16 6.888671793811913e-18
32 3083 14 4.852609511573713e-15
33 1712 14 4.852609511573713e-15
33 3083 18 7.563852593197121e-21
34 3083 14 4.852609511573713e-15
35 2951 21 1.7980898531301381e-25
35 3083 17 2.3529299550198023e-19
36 3083 16 6.888671793811913e-18
37 3083 10 9.636450311364542e-10
38 3083 16 6.888671793811913e-18
39 3083 13 1.1578834677009264e-13
40 3083 13 1.1578834677009264e-13
41 3083 11 5.1931701411545834e-11
42 3083 19 2.2954870416490966e-22
43 2375 10 9.636450311364542e-10
43 3083 12 2.556670065675041e-12
44 3083 11 5.1931701411545834e-11
45 3083 10 9.636450311364542e-10
46 3083 16 6.888671793811913e-18
48 3083 22 4.663138853599558e-27
50 3083 10 9.636450311364542e-10
51 3083 12 2.556670065675041e-12
55 3083 14 4.852609511573713e-15
59 3083 15 1.8915701790049294e-16
60 3083 10 9.636450311364542e-10
61 3083 16 6.888671793811913e-18
66 3083 12 2.556670065675041e-12
67 3083 21 1.7980898531301381e-25
68 3083 21 1.7980898531301381e-25
69 3083 19 2.2954870416490966e-22
72 3083 14 4.852609511573713e-15
72 3085 10 9.636450311364542e-10
73 3083 13 1.1578834677009264e-13
74 3083 16 6.888671793811913e-18
75 3083 18 7.563852593197121e-21
77 3083 12 2.556670065675041e-12
78 3083 11 5.1931701411545834e-11
79 3083 11 5.1931701411545834e-11
86 3083 13 1.1578834677009264e-13
88 3083 11 5.1931701411545834e-11
89 3083 14 4.852609511573713e-15
97 3083 10 9.636450311364542e-10
103 3083 13 1.1578834677009264e-13
104 3083 12 2.556670065675041e-12
107 1906 13 1.1578834677009264e-13
111 4918 35 2.4805130921015552e-49
113 3881 10 9.636450311364542e-10
132 2703 12 2.556670065675041e-12
132 2704 17 2.3529299550198023e-19
168 585 24 2.720725209671226e-30
179 871 20 6.594831742779369e-24
180 401 36 3.7360643391510234e-51
180 402 17 2.3529299550198023e-19
180 403 19 2.2954870416490966e-22
180 430 10 9.636450311364542e-10
180 1085 12 2.556670065675041e-12
180 1086 12 2.556670065675041e-12
180 1091 10 9.636450311364542e-10
180 3083 66 4.451125334851714e-111
186 1127 13 1.1578834677009264e-13
196 2255 11 5.1931701411545834e-11
207 1493 11 5.1931701411545834e-11
210 703 10 9.636450311364542e-10
214 2715 14 4.852609511573713e-15
222 1929 29 1.0554185520594964e-38
233 4291 13 1.1578834677009264e-13
260 1213 13 1.1578834677009264e-13
270 1601 11 5.1931701411545834e-11
270 3069 14 4.852609511573713e-15
271 3069 10 9.636450311364542e-10
273 2397 40 1.418107799682002e-58
277 1946 13 1.1578834677009264e-13
277 3561 24 2.720725209671226e-30
295 912 13 1.1578834677009264e-13
299 1159 13 1.1578834677009264e-13
304 3911 23 1.1526497522714224e-28
309 2611 24 2.720725209671226e-30
318 1973 14 4.852609511573713e-15
318 3218 15 1.8915701790049294e-16
323 5042 14 4.852609511573713e-15
