bin1 bin2 count
6 3085 20 4.444128361288131e-19
7 3085 42 6.1353938499495684e-52
8 3085 34 3.8347431841586284e-39
9 3085 37 7.621648379874398e-44
10 3085 43 1.3575714090670039e-53
10 5007 18 1.5912572494057382e-16
10 5008 16 4.5289856505276475e-14
11 3085 33 1.328242061732228e-37
12 3085 33 1.328242061732228e-37
13 3085 32 4.450138080206819e-36
14 3085 42 6.1353938499495684e-52
15 3085 25 7.63768446871756e-26
17 3085 27 1.1026890313414052e-28
18 3085 20 4.444128361288131e-19
19 3085 34 3.8347431841586284e-39
19 3237 19 8.641872660891718e-18
20 3085 30 4.504335469126075e-33
21 3085 32 4.450138080206819e-36
22 3085 27 1.1026890313414052e-28
23 3085 27 1.1026890313414052e-28
24 3085 20 4.444128361288131e-19
25 3085 21 2.169497120049547e-20
26 3085 30 4.504335469126075e-33
27 3085 26 2.9622739002944275e-27
28 3085 17 2.7668401490780442e-15
29 3085 21 2.169497120049547e-20
30 3085 13 1.3325080637071613e-10
31 3085 16 4.5289856505276475e-14
32 3085 17 2.7668401490780442e-15
33 1714 21 2.169497120049547e-20
33 3085 17 2.7668401490780442e-15
34 2953 12 1.6466951190199021e-09
34 3085 18 1.5912572494057382e-16
35 2953 24 1.8872282395202314e-24
35 3085 14 9.980596534540136e-12
37 3676 13 1.3325080637071613e-10
38 3085 13 1.3325080637071613e-10
42 3085 14 9.980596534540136e-12
43 3085 15 6.954888733999364e-13
44 2377 20 4.444128361288131e-19
44 3085 24 1.8872282395202314e-24
45 3085 14 9.980596534540136e-12
46 3085 17 2.7668401490780442e-15
48 3085 15 6.954888733999364e-13
49 3085 12 1.6466951190199021e-09
50 3085 16 4.5289856505276475e-14
51 3085 16 4.5289856505276475e-14
53 3085 12 1.6466951190199021e-09
55 3085 13 1.3325080637071613e-10
57 3085 15 6.954888733999364e-13
61 3085 16 4.5289856505276475e-14
62 3085 15 6.954888733999364e-13
66 3085 13 1.3325080637071613e-10
68 3085 17 2.7668401490780442e-15
69 3085 13 1.3325080637071613e-10
70 3085 12 1.6466951190199021e-09
71 3085 25 7.63768446871756e-26
72 3085 18 1.5912572494057382e-16
73 3085 12 1.6466951190199021e-09
74 3085 14 9.980596534540136e-12
75 3085 15 6.954888733999364e-13
77 3085 20 4.444128361288131e-19
78 3085 17 2.7668401490780442e-15
80 3085 14 9.980596534540136e-12
81 3085 13 1.3325080637071613e-10
82 3085 16 4.5289856505276475e-14
87 3085 14 9.980596534540136e-12
99 913 14 9.980596534540136e-12
105 3085 14 9.980596534540136e-12
111 4926 36 2.9025671999980604e-42
114 3887 14 9.980596534540136e-12
116 2506 15 6.954888733999364e-13
131 2547 12 1.6466951190199021e-09
131 2548 12 1.6466951190199021e-09
131 3839 16 4.5289856505276475e-14
133 2706 40 1.15484579380403e-48
135 1344 12 1.6466951190199021e-09
141 1571 12 1.6466951190199021e-09
149 3883 14 9.980596534540136e-12
161 4668 20 4.444128361288131e-19
168 585 13 1.3325080637071613e-10
168 586 22 1.0076427589695906e-21
179 873 15 6.954888733999364e-13
180 401 16 4.5289856505276475e-14
180 402 19 8.641872660891718e-18
180 403 23 4.4619293337470636e-23
180 404 17 2.7668401490780442e-15
180 405 15 6.954888733999364e-13
180 406 15 6.954888733999364e-13
180 411 13 1.3325080637071613e-10
180 418 12 1.6466951190199021e-09
180 1087 20 4.444128361288131e-19
180 1088 15 6.954888733999364e-13
180 1090 14 9.980596534540136e-12
180 3085 71 5.449976841236855e-104
181 3085 15 6.954888733999364e-13
186 1128 13 1.3325080637071613e-10
196 1601 13 1.3325080637071613e-10
198 2755 12 1.6466951190199021e-09
210 704 20 4.444128361288131e-19
215 2717 20 4.444128361288131e-19
221 2138 18 1.5912572494057382e-16
222 1930 48 4.8849083899043e-62
223 1930 21 2.169497120049547e-20
234 4296 24 1.8872282395202314e-24
249 3696 12 1.6466951190199021e-09
251 1111 12 1.6466951190199021e-09
256 1748 13 1.3325080637071613e-10
260 1215 23 4.4619293337470636e-23
271 3071 21 2.169497120049547e-20
273 2399 24 1.8872282395202314e-24
274 2399 44 2.925275635320647e-55
278 3564 39 4.804317931183117e-47
288 2831 13 1.3325080637071613e-10
295 913 17 2.7668401490780442e-15
299 1160 12 1.6466951190199021e-09
305 3916 17 2.7668401490780442e-15
309 2613 26 2.9622739002944275e-27
311 4523 20 4.444128361288131e-19
318 3220 24 1.8872282395202314e-24
319 1974 16 4.5289856505276475e-14
323 5052 19 8.641872660891718e-18
324 5052 14 9.980596534540136e-12
326 1421 13 1.3325080637071613e-10
337 1127 13 1.3325080637071613e-10
344 4118 13 1.3325080637071613e-10
347 3071 20 4.444128361288131e-19
348 4345 15 6.954888733999364e-13
360 2378 19 8.641872660891718e-18
401 3085 26 2.9622739002944275e-27
402 3085 40 1.15484579380403e-48
402 4618 13 1.3325080637071613e-10
403 3085 32 4.450138080206819e-36
404 3085 37 7.621648379874398e-44
405 3085 31 1.440890895053508e-34
406 3085 40 1.15484579380403e-48
407 2496 12 1.6466951190199021e-09
407 2497 22 1.0076427589695906e-21
407 3085 39 4.804317931183117e-47
408 3085 26 2.9622739002944275e-27
409 3085 33 1.328242061732228e-37
410 3085 16 4.5289856505276475e-14
411 3085 15 6.954888733999364e-13
412 3085 16 4.5289856505276475e-14
413 3085 14 9.980596534540136e-12
414 3085 24 1.8872282395202314e-24
415 3085 23 4.4619293337470636e-23
416 3085 16 4.5289856505276475e-14
417 3085 18 1.5912572494057382e-16
418 3085 29 1.3580794619801598e-31
418 3646 17 2.7668401490780442e-15
419 3085 22 1.0076427589695906e-21
420 3085 22 1.0076427589695906e-21
421 3085 17 2.7668401490780442e-15
422 3085 15 6.954888733999364e-13
423 3085 12 1.6466951190199021e-09
424 3085 12 1.6466951190199021e-09
425 3085 14 9.980596534540136e-12
426 3085 19 8.641872660891718e-18
427 3085 17 2.7668401490780442e-15
428 3085 13 1.3325080637071613e-10
431 3085 28 3.944905130078284e-30
432 3085 21 2.169497120049547e-20
433 3085 18 1.5912572494057382e-16
434 3085 21 2.169497120049547e-20
436 3085 15 6.954888733999364e-13
437 3085 15 6.954888733999364e-13
438 3085 12 1.6466951190199021e-09
441 2433 13 1.3325080637071613e-10
459 1944 12 1.6466951190199021e-09
473 3085 16 4.5289856505276475e-14
480 1114 12 1.6466951190199021e-09
483 1888 24 1.8872282395202314e-24
484 1888 14 9.980596534540136e-12
488 4023 33 1.328242061732228e-37
508 2720 24 1.8872282395202314e-24
509 2720 44 2.925275635320647e-55
510 2720 18 1.5912572494057382e-16
516 2439 21 2.169497120049547e-20
521 1122 35 1.0718189795724388e-40
534 1667 22 1.0076427589695906e-21
534 1668 42 6.1353938499495684e-52
534 3381 13 1.3325080637071613e-10
542 1292 38 1.9419297137963246e-45
562 2161 17 2.7668401490780442e-15
564 2129 14 9.980596534540136e-12
592 3085 16 4.5289856505276475e-14
594 5152 28 3.944905130078284e-30
595 2965 33 1.328242061732228e-37
597 1054 17 2.7668401490780442e-15
620 2143 17 2.7668401490780442e-15
621 4083 22 1.0076427589695906e-21
623 922 21 2.169497120049547e-20
632 4854 22 1.0076427589695906e-21
638 3772 22 1.0076427589695906e-21
639 2327 33 1.328242061732228e-37
639 3311 17 2.7668401490780442e-15
651 1270 29 1.3580794619801598e-31
654 2648 15 6.954888733999364e-13
658 4006 32 4.450138080206819e-36
667 1480 24 1.8872282395202314e-24
675 4018 31 1.440890895053508e-34
683 958 19 8.641872660891718e-18
683 959 15 6.954888733999364e-13
702 2666 15 6.954888733999364e-13
702 3914 12 1.6466951190199021e-09
703 3914 57 6.922074904110221e-78
705 2562 48 4.8849083899043e-62
705 2563 12 1.6466951190199021e-09
710 2994 25 7.63768446871756e-26
721 1204 34 3.8347431841586284e-39
730 1821 28 3.944905130078284e-30
758 4547 24 1.8872282395202314e-24
766 3085 12 1.6466951190199021e-09
767 3085 24 1.8872282395202314e-24
768 3085 21 2.169497120049547e-20
769 3085 16 4.5289856505276475e-14
771 3085 19 8.641872660891718e-18
772 3085 19 8.641872660891718e-18
772 3957 14 9.980596534540136e-12
774 3085 12 1.6466951190199021e-09
775 3085 16 4.5289856505276475e-14
776 3085 21 2.169497120049547e-20
777 3085 27 1.1026890313414052e-28
778 3085 21 2.169497120049547e-20
779 3085 30 4.504335469126075e-33
780 3085 16 4.5289856505276475e-14
781 3085 15 6.954888733999364e-13
783 3085 12 1.6466951190199021e-09
785 3085 12 1.6466951190199021e-09
791 4440 12 1.6466951190199021e-09
795 3085 13 1.3325080637071613e-10
798 1390 21 2.169497120049547e-20
798 3085 14 9.980596534540136e-12
799 3085 16 4.5289856505276475e-14
804 3085 14 9.980596534540136e-12
808 5105 32 4.450138080206819e-36
809 3803 19 8.641872660891718e-18
815 3085 14 9.980596534540136e-12
816 3085 13 1.3325080637071613e-10
821 3085 13 1.3325080637071613e-10
822 3085 12 1.6466951190199021e-09
824 1420 29 1.3580794619801598e-31
832 3085 12 1.6466951190199021e-09
832 3834 27 1.1026890313414052e-28
833 3085 14 9.980596534540136e-12
834 1406 18 1.5912572494057382e-16
834 3085 12 1.6466951190199021e-09
834 3776 20 4.444128361288131e-19
840 3085 14 9.980596534540136e-12
851 4006 18 1.5912572494057382e-16
867 3085 14 9.980596534540136e-12
878 2872 14 9.980596534540136e-12
892 4558 12 1.6466951190199021e-09
910 1456 15 6.954888733999364e-13
912 3850 27 1.1026890313414052e-28
919 3717 15 6.954888733999364e-13
924 1850 13 1.3325080637071613e-10
929 2028 19 8.641872660891718e-18
933 4132 12 1.6466951190199021e-09
935 1716 21 2.169497120049547e-20
936 2413 18 1.5912572494057382e-16
936 2476 30 4.504335469126075e-33
958 4128 18 1.5912572494057382e-16
958 4129 44 2.925275635320647e-55
963 4539 15 6.954888733999364e-13
969 4935 12 1.6466951190199021e-09
970 3748 14 9.980596534540136e-12
983 2195 18 1.5912572494057382e-16
991 3970 15 6.954888733999364e-13
1014 5107 14 9.980596534540136e-12
1025 2457 18 1.5912572494057382e-16
1034 3884 27 1.1026890313414052e-28
1036 1141 29 1.3580794619801598e-31
1036 1142 20 4.444128361288131e-19
1043 4018 12 1.6466951190199021e-09
1049 5006 13 1.3325080637071613e-10
1051 2680 17 2.7668401490780442e-15
1051 3441 24 1.8872282395202314e-24
1086 1704 16 4.5289856505276475e-14
1086 1705 42 6.1353938499495684e-52
1086 1706 13 1.3325080637071613e-10
1086 2004 14 9.980596534540136e-12
1086 2310 25 7.63768446871756e-26
1086 2311 42 6.1353938499495684e-52
1086 2312 12 1.6466951190199021e-09
1086 3085 13 1.3325080637071613e-10
1086 4067 14 9.980596534540136e-12
1086 4068 23 4.4619293337470636e-23
1087 3085 32 4.450138080206819e-36
1088 3085 35 1.0718189795724388e-40
1089 3085 25 7.63768446871756e-26
1090 3085 16 4.5289856505276475e-14
1091 3085 26 2.9622739002944275e-27
1092 3085 18 1.5912572494057382e-16
1093 3085 26 2.9622739002944275e-27
1094 3085 22 1.0076427589695906e-21
1095 3085 19 8.641872660891718e-18
1096 3085 29 1.3580794619801598e-31
1097 3085 29 1.3580794619801598e-31
1098 3085 29 1.3580794619801598e-31
1099 3085 18 1.5912572494057382e-16
1100 3085 21 2.169497120049547e-20
1101 3085 22 1.0076427589695906e-21
1102 3085 28 3.944905130078284e-30
1102 4861 18 1.5912572494057382e-16
1103 3085 27 1.1026890313414052e-28
1104 3085 15 6.954888733999364e-13
1106 3085 14 9.980596534540136e-12
1107 3085 16 4.5289856505276475e-14
1110 3085 29 1.3580794619801598e-31
1111 3085 18 1.5912572494057382e-16
1112 3085 16 4.5289856505276475e-14
1115 3085 12 1.6466951190199021e-09
1116 3085 14 9.980596534540136e-12
1118 3085 14 9.980596534540136e-12
1119 3085 13 1.3325080637071613e-10
1120 3085 14 9.980596534540136e-12
1121 2476 12 1.6466951190199021e-09
1121 3085 14 9.980596534540136e-12
1122 3085 14 9.980596534540136e-12
1123 3085 13 1.3325080637071613e-10
1124 3085 15 6.954888733999364e-13
1125 3085 13 1.3325080637071613e-10
1126 3085 13 1.3325080637071613e-10
1127 3085 14 9.980596534540136e-12
1128 3085 12 1.6466951190199021e-09
1130 3085 15 6.954888733999364e-13
1131 3085 12 1.6466951190199021e-09
1134 3085 12 1.6466951190199021e-09
1138 3085 12 1.6466951190199021e-09
1142 3085 14 9.980596534540136e-12
1144 3085 12 1.6466951190199021e-09
1147 1654 12 1.6466951190199021e-09
1147 3085 14 9.980596534540136e-12
1148 3085 18 1.5912572494057382e-16
1150 3085 15 6.954888733999364e-13
1158 1722 19 8.641872660891718e-18
